יום מכירה,כתובת,גוש חלקה - תת חלקה,סוג נכס,חדרים,קומה,"מ""ר",סכום,מגמת שינוי
10.01.2019,,5032-29-27,משרד,1.0,,88.0,"1,114,757",
10.01.2019,,5032-29-28,משרד,1.0,,91.0,"1,389,474",
03.01.2019,,3946-344-16,דירה,1.0,,81.0,"2,008,890",
02.01.2019,פינס 9,3928-470-1,דירה בבית קומות,1.0,מרתף,,"500,000",-16% ב 2.3 שנים
23.12.2018,,5032-29-21,משרד,1.0,,70.0,"487,609",
23.12.2018,,5032-29-22,משרד,1.0,,67.0,"960,378",
23.12.2018,,5032-29-23,משרד,1.0,,51.0,"1,016,367",
23.12.2018,,5032-29-24,משרד,1.0,,109.0,"1,018,487",
23.12.2018,,5032-29-25,משרד,1.0,,103.0,"1,036,508",
23.12.2018,,5032-29-26,משרד,1.0,,106.0,"1,585,336",
11.12.2018,,3942-103-64,משרד,1.0,,170.0,"4,723,290",
05.12.2018,,5032-29-20,משרד,1.0,,72.0,"1,358,875",
04.12.2018,,5032-29-15,משרד,1.0,,135.0,"633,260",
04.12.2018,,5032-29-16,משרד,1.0,,109.0,"795,506",
04.12.2018,,5032-29-17,משרד,1.0,,89.0,"891,952",
04.12.2018,,5032-29-18,משרד,1.0,,100.0,"1,189,104",
04.12.2018,,5032-29-19,דירה,1.0,,91.0,"1,548,949",
03.12.2018,,5032-29-14,משרד,1.0,,53.0,"816,538",
02.12.2018,,5032-29-4,משרד,1.0,,68.0,"567,160",
02.12.2018,,5032-29-5,משרד,1.0,,65.0,"695,354",
02.12.2018,,5032-29-6,משרד,1.0,,60.0,"751,440",
02.12.2018,,5032-29-7,משרד,1.0,,47.0,"775,476",
02.12.2018,,5032-29-8,משרד,1.0,,167.0,"780,484",
02.12.2018,,5032-29-9,משרד,1.0,,138.0,"784,490",
02.12.2018,,5032-29-10,משרד,1.0,,89.0,"874,926",
02.12.2018,,5032-29-11,משרד,1.0,,72.0,"1,092,256",
02.12.2018,,5032-29-12,משרד,1.0,,69.0,"1,483,551",
02.12.2018,,5032-29-13,משרד,1.0,,70.0,"1,874,443",
28.11.2018,ירושלים 5,3932-206-1,דירה בבית קומות,1.0,מרתף,21.8,"500,000",
27.11.2018,,5032-29-3,משרד,1.0,,68.0,"949,778",
27.11.2018,,3942-103-1,אחר,1.0,,187.0,"15,372,338",
20.11.2018,,5032-29-1,משרד,1.0,,68.0,"1,134,709",
20.11.2018,,5032-29-2,משרד,1.0,,68.0,"1,178,686",
29.10.2018,,3947-60-56,משרד,1.0,,99.0,"1,068,895",
29.10.2018,,3947-60-57,משרד,1.0,,98.0,"1,250,587",
05.09.2018,,3628-10-2,קוטג' חד משפחתי,1.0,,1868.0,"11,600,000",
30.08.2018,,3946-344-5,אחר,1.0,,99.0,"2,370,888",
23.08.2018,,3947-60-65,משרד,1.0,שישית,84.0,"1,164,894",
14.08.2018,,7374-12-1,קוטג' דו משפחתי,1.0,,172.0,"7,600,000",
06.08.2018,,3947-95-13,דירה,1.0,,141.0,"1,863,677",
06.08.2018,,3947-95-12,דירה,1.0,,114.0,"1,545,410",
18.06.2018,מבצע ברק 10,5747-10-2,קוטג' דו משפחתי,1.0,,500.0,"4,189,000",
13.06.2018,,3947-95-11,משרד,1.0,,64.0,"1,092,501",
29.05.2018,,3946-344-3,אחר,1.0,,2997.0,"27,624,440",
27.05.2018,שניאור זלמן 36,7281-41-1,דירה בבית קומות,1.0,ראשונה,26.7,"330,000",
22.05.2018,,3947-60-54,משרד,1.0,שישית,79.0,"1,099,522",
28.03.2018,שרוני ברוך 20,6288-233-1,קוטג' חד משפחתי,1.0,,400.0,"8,688,000",
27.03.2018,,3947-60-69,משרד,1.0,שביעית,79.0,"1,098,025",
22.03.2018,גבין משה 5,3629-226-2,קוטג' דו משפחתי,1.0,,100.0,"7,100,000",
18.07.2017,חיל התותחנים 24,2717-24-1,דירה בבית קומות,1.0,ראשונה,121.2,"2,350,000",
28.06.2017,,3947-60-91,עסק,1.0,שישית,131.0,"1,083,211",
27.06.2017,,3947-60-36,עסק,1.0,שלישית,114.0,"1,600,649",
14.06.2017,,3947-60-33,עסק,1.0,שניה,202.0,"1,014,996",
14.06.2017,מבצע הראל 56,5384-6-2,קוטג' דו משפחתי,1.0,"מרתף, קרקע, ראשונה, שניה",220.0,"3,500,000",123% ב 16.7 שנים
09.10.2016,חיל התותחנים 26,2717-23-27,דירה בבית קומות,1.0,שישית,121.4,"2,690,000",
22.09.2016,פינס 2,3928-116-10,דירה בבית קומות,1.0,שלישית,,"619,000",
06.09.2016,השומר 46,3938-243-1,קוטג' דו משפחתי,1.0,,80.0,"3,299,000",
09.08.2016, ,3928-433-12,קוטג' דו משפחתי,1.0,,221.0,"3,320,000",
16.06.2016,הגלבוע 1,3923-354-4,קוטג' טורי,1.0,"קרקע, ראשונה",157.73,"2,700,000",
23.05.2016,רוטשילד 121,3923-166-10,דירה בבית קומות,1.0,שניה,62.35,"1,280,000",
12.04.2016,האשכולית 9,3628-54-1,בית בודד,1.0,,70.0,"900,000",
10.03.2016,לאונר נעם 10,7374-34-1,קוטג' דו משפחתי,1.0,,360.0,"5,400,000",
24.02.2016,הנחשול 46,5384-47-31,דירת גג,1.0,תשיעית,196.6,"3,850,000",
04.02.2016,וולפסון 15,3926-632-2,דירה בבית קומות,1.0,ראשונה,,"630,000",
02.02.2016,הפזית 21,6824-184-1,קוטג' דו משפחתי,1.0,שניה,250.0,"6,000,000",
20.09.2015,מאירוביץ 44,3925-184-2,קוטג' חד משפחתי,1.0,--------,27.0,"2,053,000",
07.09.2015,אוסישקין 12,3928-287-2,דירה בבית קומות,1.0,קרקע,26.26,"729,000",
15.07.2015,יחזקאל הנביא 10,4247-189-1,קוטג' דו משפחתי,1.0,ראשונה,100.0,"1,140,000",
11.06.2015,בלפור 8,3931-4-2,קוטג' דו משפחתי,1.0,ראשונה,100.0,"500,000",
21.05.2015,הרקפת 120,4243-211-5,קוטג' דו משפחתי,1.0,ראשונה,308.0,"2,400,000",
13.05.2015,אלרואי 8,3929-789-1,דירה בבית קומות,1.0,ראשונה,,"200,000",
14.04.2015,הירמוך 12,3923-279-34,דירה בבית קומות,1.0,ראשונה,29.1,"250,000",190% ב 6.4 שנים
26.03.2015,האלה 11,4242-565-0,קוטג' דו משפחתי,1.0,ראשונה,1097.0,"3,120,000",
11.03.2015,חיל התותחנים 26,2717-23-2,דירה בבית קומות,1.0,ראשונה,121.4,"2,090,000",30% ב 6.2 שנים
01.02.2015,הכרמל 9,3936-149-7,דירה בבית קומות,1.0,חצר,,"470,000",17% ב 0.5 שנים
15.12.2014,ירושלים 70,3930-549-4,דירה בבית קומות,1.0,שניה,101.4,"1,515,000",
28.11.2014,העסיס 32,5038-9-32,דירה בבית קומות,1.0,שלישית,96.0,"1,650,000",
13.11.2014,התומר 2,3926-48-5,דירה בבית קומות,1.0,שניה,71.81,"1,000,000",
06.11.2014,צייטלין 17,7282-80-20,דירה בבית קומות,1.0,שניה,,"90,000",
05.11.2014,נורדאו 85,3925-675-1,קוטג' דו משפחתי,1.0,מרתף קרקע וראשונה,192.12,"2,725,000",
05.11.2014,גלילי ישראל 19,3946-412-129,דירה בבית קומות,1.0,קומה ‎17‏,172.0,"5,342,000",
02.09.2014,שבטי ישראל 39,4247-68-2,קוטג' דו משפחתי,1.0,ראשונה,34.5,"1,900,000",
21.08.2014,האשכולית 9,3628-54-2,בית בודד,1.0,,100.0,"755,000",
25.02.2014,"עגנון ש""י 32",6095-159-4,דירה בבית קומות,1.0,ראשונה,48.63,"720,000",231% ב 6.6 שנים
30.12.2013,האתרוג 25,4243-295-3,דירה בבית קומות,1.0,,209.0,"1,300,000",
26.11.2013,יונה הנביא 3,4247-314-1,קוטג' דו משפחתי,1.0,,205.0,"4,700,000",
25.11.2013,הזמורה 4,5039-37-33,דירה בבית קומות,1.0,קרקע,27.0,"300,000",
05.11.2013,הנחליאלי 16,6287-253-1,קוטג' חד משפחתי,1.0,,172.0,"2,560,000",
13.10.2013,האתרוג 25,4243-295-2,קוטג' דו משפחתי,1.0,,209.0,"2,166,000",
08.10.2013, ,3932-72-13,קוטג' דו משפחתי,1.0,,374.0,"5,600,000",
03.10.2013,מבצע עובדה 25,5747-77-3,קוטג' דו משפחתי,1.0,,306.0,"3,200,000",
21.08.2013,הרצל 91,3925-561-35,עסק,1.0,,37.0,"401,200",
18.08.2013,הסנפיר 2,6823-42-3,קוטג' דו משפחתי,1.0,,150.0,"2,260,000",
23.06.2013,הרצל 91,3925-561-33,עסק,1.0,,42.0,"2,124,000",
09.05.2013,,3946-261-150,דירה בבית קומות,1.0,ראשונה,57.0,"211,000",
04.05.2013,ביאליק 13,3928-882-114,עסק,1.0,,155.0,"2,400,000",
07.04.2013,"תרמ""ב 13",3928-884-158,אחר,1.0,עשירית,67.0,"1,351,350",
19.03.2013,טביב 9,3938-261-1,קוטג' טורי,1.0,,148.0,"3,750,000",
27.02.2013,,3946-261-152,דירה בבית קומות,1.0,ראשונה,,"2,073,000",
26.02.2013,השייטת 2,2704-55-543,אחר,1.0,חמש עשרה,,"245,485",
13.02.2013,,3946-258-536,דירה בבית קומות,1.0,ראשונה,,"62,000",
21.01.2013,הרפסודה 40,6826-43-1,קוטג' דו משפחתי,1.0,,140.0,"6,181,000",
14.01.2013,,3628-75-2,קוטג' חד משפחתי,1.0,,300.0,"7,860,000",
12.12.2012,פינשטיין יונה צבי 17,6288-108-52,דירה בבית קומות,1.0,שביעית,104.31,"1,610,000",-10% ב 2.5 שנים
15.10.2012,התורן 5,6824-65-1,קוטג' דו משפחתי,1.0,,220.0,"4,450,000",
06.09.2012,בלבן אליעזר 1,3939-489-84,דירה בבית קומות,1.0,ראשונה,381.0,"6,467,000",
28.06.2012,,3946-258-623,דירה בבית קומות,1.0,,,"966,000",
15.05.2012,,3928-82-1,דירה,1.0,,70.0,"1,450,000",
13.05.2012,הסירה 9,6826-64-1,קוטג' דו משפחתי,1.0,,240.0,"2,650,000",
10.05.2012,קצרין 15,5435-164-1,קוטג' דו משפחתי,1.0,ראשונה,292.0,"5,000,000",
29.02.2012,דוידזון 1,3939-290-16,דירה בבית קומות,1.0,שישית,80.0,"5,517,000",
23.02.2012,,6288-55-2,קוטג' חד משפחתי,1.0,,60.0,"1,040,000",
07.10.2011,מוהליבר 32,3933-36-5,דירה בבית קומות,1.0,ראשונה,37.65,"630,000",
15.05.2011,התומר 3,3926-56-8,דירה בבית קומות,1.0,שלישית,66.14,"800,000",
13.05.2011,בלבן אליעזר 1,3939-489-85,דירה בבית קומות,1.0,,,"26,555,000",
12.05.2011,חטיבה שבע 55,5436-15-1,קוטג' דו משפחתי,1.0,,288.0,"6,300,000",
06.05.2011,קרון אהרון 13,3925-220-1,קומבינציה,1.0,ראשונה,107.93,"1,181,000",
02.05.2011, ,3945-509-17,דירה בבית קומות,1.0,,21.0,"304,000",
17.04.2011,רפידים 49,5386-85-3,קוטג' טורי,1.0,קרקע וראשונה,165.0,"2,640,000",
31.03.2011,הרב שלינקה יצחק 6,7373-73-61,דירה בבית קומות,1.0,,,"2,000,000",
15.03.2011,הרב נריה 8,5116-25-47,דירה בבית קומות,1.0,שניה,121.71,"1,760,000",
23.02.2011,,6287-117-69,דירה בבית קומות,1.0,,,"1,500,000",
20.02.2011,,6287-117-70,דירה בבית קומות,1.0,,,"1,500,000",
25.01.2011,,6287-117-72,דירה בבית קומות,1.0,,,"2,500,000",
23.01.2011,,6287-117-74,דירה בבית קומות,1.0,,,"1,000,000",
28.12.2010,,6287-117-76,דירה בבית קומות,1.0,,,"1,500,000",
23.12.2010,הקוקיה 23,6287-310-4,דירה בבית קומות,1.0,,,"2,000,000",
21.12.2010,,6287-117-80,דירה בבית קומות,1.0,,,"63,000",
20.12.2010,,6287-117-81,דירה בבית קומות,1.0,,,"1,666,000",
14.12.2010,התאנה 1,3926-288-22,דירה בבית קומות,1.0,רביעית,88.7,"660,000",
14.12.2010,,6287-117-82,דירה בבית קומות,1.0,,,"1,160,000",
13.12.2010,,6287-117-83,דירה בבית קומות,1.0,,,"1,500,000",
12.12.2010,,6287-117-84,דירה בבית קומות,1.0,ראשונה,,"1,750,000",
10.11.2010,הרב מימון 4,3929-1083-46,דירה בבית קומות,1.0,שתים עשרה,152.2,"2,500,000",6% ב 1 שנים
03.11.2010,,7373-53-1,דירה בבית קומות,1.0,,,"1,450,000",
25.10.2010,"תרמ""ב 13",3928-884-21,דירה בבית קומות,1.0,קרקע,54.1,"2,500,000",
24.10.2010,חטיבת קריתי 7,3930-270-1,קוטג' דו משפחתי,1.0,"מרתף,קרקע,ראשנה,שניה",139.5,"2,200,000",
13.10.2010,,6287-117-95,דירה בבית קומות,1.0,,,"1,700,000",
07.10.2010,הנחשול 83,5748-4-37,דירה בבית קומות,1.0,עשירית,93.06,"2,250,000",23% ב 0.5 שנים
09.06.2010,ההתיישבות 53,6286-324-7,דירה בבית קומות,1.0,שלישית,106.41,"2,160,000",89% ב 0.9 שנים
05.05.2010,,6287-117-102,דירה בבית קומות,1.0,,,"1,666,000",
29.04.2010,"שז""ר זלמן 28",2717-20-26,דירה בבית קומות,1.0,ראשונה,,"1,775,000",
24.03.2010,ההתיישבות 53,6286-324-30,דירה בבית קומות,1.0,"שמינית, תשיעית",155.93,"1,740,000",7% ב 0.6 שנים
24.03.2010,ההתיישבות 53,6286-324-29,דירה בבית קומות,1.0,"שמינית, תשיעית",155.72,"1,680,000",3% ב 0.5 שנים
07.02.2010,נחמיה 97,4246-57-1,קוטג' דו משפחתי,1.0,ראשונה,25.11,"2,628,000",
08.01.2010,יאיר 11,4241-36-1,דירה בבית קומות,1.0,ראשונה,,"3,100,000",
31.12.2009,האורגן 8,5182-5-49,דירה בבית קומות,1.0,שישית,142.0,"2,000,000",
05.11.2009,שיבת ציון 32,3938-117-2,דירה בבית קומות,1.0,ראשונה,49.14,"1,638,000",
28.10.2009,בלבן אליעזר 1,3939-489-5,עסק,1.0,,34.0,"635,000",
21.07.2009,דרבלה 22,4242-395-1,קוטג' דו משפחתי,1.0,,,"1,700,000",
09.07.2009,מבצע נחשון 6,5384-50-13,דירה בבית קומות,1.0,שלישית,97.5,"1,210,000",
22.06.2009,כצנלסון 60,3945-845-2,דירה בבית קומות,1.0,ראשונה,115.7,"1,680,000",
15.05.2009,ארבל 11,3923-345-3,קוטג' דו משפחתי,1.0,מרתף קרקע וראשונה,437.63,"4,750,000",
03.05.2009,אבן חן 2,4746-32-150,דירה בבית קומות,1.0,עשרים ואחת,199.44,"3,340,000",
23.03.2009,,6287-117-148,דירה בבית קומות,1.0,ראשונה,,"60,000",
26.02.2009,בורלא 28,5117-34-0,קוטג' דו משפחתי,1.0,,600.0,"2,360,000",
22.02.2009,,6287-117-152,דירה בבית קומות,1.0,,,"80,000",
21.12.2008,הרצל 91,3925-561-25,עסק,1.0,שניה,33.0,"311,850",
03.11.2008,השרביט 5,5029-70-1,קוטג' חד משפחתי,1.0,,576.0,"4,225,000",
23.10.2008,פטריה 8,4243-208-2,קוטג' דו משפחתי,1.0,,30.0,"465,000",
03.08.2008,סטרומה 6,4243-186-1,דירה בבית קומות,1.0,ראשונה,22.0,"400,000",
03.06.2008,,3927-200-0,קוטג' דו משפחתי,1.0,,600.0,"2,350,000",
07.03.2008,הרקפת 86,4243-168-1,דירה בבית קומות,1.0,,40.0,"563,000",
16.01.2008,הרקפת 24,4242-141-2,דירה בבית קומות,1.0,---,39.46,"1,170,000",
14.01.2008,עצמונה 1,5386-53-1,דירה בבית קומות,1.0,מרתף + קרקע + א'+ב',229.0,"1,812,000",
12.11.2007,משה בן נחמן 20,4247-564-58,דירה בבית קומות,1.0,רביעית,113.34,"1,030,000",
29.08.2007,המלך 21,5029-85-1,קוטג' דו משפחתי,1.0,,280.0,"2,600,000",
04.07.2007,הרקפת 17,4242-65-1,בית בודד,1.0,ראשונה,27.38,"573,000",
23.01.2007,מאפו 10,3945-255-2,דירה בבית קומות,1.0,קרקע,41.52,"93,000",
27.04.2006,קלישר 9,5116-56-4,דירה בבית קומות,1.0,ראשונה,100.0,"994,000",
27.12.2005,החשמונאים 14,4241-185-1,קוטג' דו משפחתי,1.0,,,"460,000",
25.07.2005,חיל התותחנים 26,2717-23-49,דירה בבית קומות,1.0,עשירית + אחת עשרה,134.3,"1,917,000",
14.07.2005,יוחנן הסנדלר 8,3929-937-3,דירה בבית קומות,1.0,ראשונה,66.6,"652,000",
21.06.2005,חיל התותחנים 26,2717-23-7,דירה בבית קומות,1.0,שניה,121.4,"1,283,000",
16.05.2005,חיל החימוש 38,2717-22-50,דירה בבית קומות,1.0,קרקע,,"105,000",
20.07.2004,חיל התותחנים 24,2717-24-47,דירה בבית קומות,1.0,עשירית,136.3,"2,000,000",
03.06.2004,שרת משה 8,5032-22-1,דירה בבית קומות,1.0,חמישית,96.0,"862,000",
14.01.2004,ויניק 37,3926-1029-7,,1.0,רביעית,110.72,"964,000",
22.09.2003,מונטיפיורי 2,3928-356-2,,1.0,קרקע,20.18,"204,000",
11.03.2001,,6287-117-247,,1.0,רביעית,100.0,"759,000",
07.02.2001,פינברג יוסף 3,3929-242-8,,1.0,שניה,34.48,"248,000",
08.12.2000,נתנס דניאל 1,5095-13-3,קוטג' דו משפחתי,1.0,,,"1,206,000",
07.12.2000,ורמוס הרולד 4,5095-3-2,קוטג' דו משפחתי,1.0,קרקע + ראשונה,204.3,"1,509,000",
24.11.2000,נתנס דניאל 8,5095-10-4,קוטג' דו משפחתי,1.0,,,"1,186,000",
27.08.2000,פוחצ'בסקי מיכל 31,3925-653-3,,1.0,,245.0,"14,706,000",
16.07.2000,מורדי הגטאות 101,4243-163-2,דירה בבית קומות,1.0,קרקע,27.7,"400,000",
12.04.2000,"תרמ""ב 30",3928-233-1,,1.0,קרקע,,"250,000",
22.04.1998,מורדי הגטאות 101,4243-163-3,,1.0,,,"676,000",
22.04.1998,ברנר 9,3945-114-2,,1.0,מרתף+קרקע+ 1+2,268.5,"1,727,000",
23.02.1998,הרקפת 102,4243-190-1,,1.0,,40.0,"486,000",
09.02.1998,הכשרת הישוב 5,3946-105-1,,1.0,ראשונה,183.0,"624,000",
24.11.2021,הרב ברוק 8,3930-446-22,דירה בבית קומות,2.0,ראשונה,54.0,"1,345,000",
23.11.2021,נהריים 17,3930-477-10,דירה בבית קומות,2.0,ראשונה,40.79,"1,562,000",
23.11.2021,נהריים 19,3930-477-5,דירה בבית קומות,2.0,שניה,40.79,"1,500,000",
11.11.2021,הרצל 93,3925-674-117,דירה בבית קומות,2.0,אחת עשרה,37.26,"1,420,000",
07.11.2021,הרב נריה 9,5116-28-2,דירה בבית קומות,2.0,ראשונה,41.36,"1,530,000",54% ב 10.2 שנים
04.11.2021,"בית""ר 4",3928-508-10,דירה בבית קומות,2.0,שניה,46.78,"1,390,000",26% ב 2.5 שנים
03.11.2021,נחמה 21,3932-94-4,דירה בבית קומות,2.0,ראשונה,63.25,"1,450,000",52% ב 1 שנים
02.11.2021,האחים אוסטשינסקי 19,3925-229-12,דירה בבית קומות,2.0,שלישית,50.25,"1,400,000",18% ב 5.3 שנים
02.11.2021,סנש חנה 3,7281-55-16,דירה בבית קומות,2.0,שניה,35.2,"1,800,000",
31.10.2021,שניאור זלמן 42,7281-38-16,דירה בבית קומות,2.0,רביעית,40.0,"1,000,000",2% ב 4.6 שנים
27.10.2021,האחים זיגר 4,3928-598-12,דירה בבית קומות,2.0,שלישית,50.64,"1,250,000",244% ב 17.1 שנים
26.10.2021,הרב נורוק 3,7282-14-7,דירה בבית קומות,2.0,ראשונה,36.0,"1,640,000",
24.10.2021,נורדאו 37,3936-181-17,דירה בבית קומות,2.0,שניה,44.1,"1,050,000",-8% ב 8.3 שנים
12.10.2021,ירושלים 22,3937-15-2,דירה בבית קומות,2.0,ראשונה,,"2,393,000",
12.10.2021,הורוביץ 7,3926-870-2,דירה בבית קומות,2.0,ראשונה,63.06,"1,168,000",
07.10.2021,קרן קימת 29,3928-260-12,דירה בבית קומות,2.0,שלישית,45.95,"1,370,000",
06.10.2021,שניאור זלמן 44,7281-37-15,דירה בבית קומות,2.0,רביעית,40.0,"1,100,000",10% ב 1.1 שנים
01.09.2021,הרצל 93,3925-674-107,דירה בבית קומות,2.0,עשירית,36.6,"1,440,000",54% ב 8.9 שנים
31.08.2021,נורדאו 37,3936-181-23,דירה בבית קומות,2.0,שלישית,44.1,"1,432,000",17% ב 5.3 שנים
31.08.2021,התוף 7,5183-42-127,דירה בבית קומות,2.0,שביעית,44.0,"1,740,000",235% ב 20.7 שנים
29.08.2021,התוף 7,5183-42-102,דירה בבית קומות,2.0,שלישית,44.0,"1,620,000",47% ב 8.4 שנים
29.08.2021,לוין אשר 5,3933-206-58,דירה בבית קומות,2.0,חמישית,67.01,"1,540,000",
25.08.2021,ביאליק 13,3928-882-75,דירה בבית קומות,2.0,תשיעית,69.0,"1,950,000",150% ב 13.1 שנים
24.08.2021,התוף 7,5183-42-69,דירה בבית קומות,2.0,תשיעית,44.0,"1,600,000",213% ב 20.6 שנים
23.08.2021,קרן קימת 29,3928-260-9,דירה בבית קומות,2.0,שניה,44.85,"1,360,000",18% ב 2.2 שנים
02.08.2021,ויצברד 8,3933-193-17,דירה בבית קומות,2.0,רביעית,58.94,"1,300,000",39% ב 6.6 שנים
01.08.2021,התוף 7,5183-42-223,דירה בבית קומות,2.0,תשיעית,44.0,"1,650,000",
29.07.2021,אנילביץ 17,7282-53-16,דירה בבית קומות,2.0,שלישית,35.0,"1,175,000",256% ב 12.9 שנים
26.07.2021,עולי הגרדום 36,3926-453-7,דירה בבית קומות,2.0,שלישית,54.9,"1,550,000",93% ב 7 שנים
21.07.2021,שפינוזה 20,3928-613-13,דירה בבית קומות,2.0,שניה,56.0,"1,400,000",60% ב 8.9 שנים
20.07.2021,וקסלר משה 1,3935-64-7,דירה בבית קומות,2.0,שניה,44.61,"1,300,000",18% ב 5.9 שנים
19.07.2021,גורדון 30,3945-535-3,דירה בבית קומות,2.0,קרקע,43.21,"1,100,000",10% ב 4 שנים
07.07.2021,קורצ'ק יאנוש 8,7282-168-4,דירה בבית קומות,2.0,שניה,49.0,"1,250,000",78% ב 2.3 שנים
30.06.2021,טרכטנברג 22,3928-565-29,דירה בבית קומות,2.0,רביעית,37.78,"1,180,000",
